path,label,crop
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1575_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1642_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1628_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust190_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1639_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust20_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1650_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust211_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust183_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1604_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust217_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1549_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1635_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1576_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1592_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1616_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1640_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1630_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust178_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust15_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1661_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1538_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1585_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust170_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust175_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust156_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1597_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust228_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1641_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1624_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1583_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1655_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust195_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust187_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1679_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1673_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1550_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust203_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust22_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1666_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1663_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust161_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1657_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1678_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust198_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust192_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust223_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust214_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust177_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1662_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1623_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust21_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust199_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1560_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1681_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust155_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1607_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1618_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1547_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1552_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust219_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust180_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust186_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust172_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1574_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust188_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust169_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust202_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1541_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust218_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust207_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust193_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1598_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1602_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust208_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1675_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust176_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust210_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1595_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1542_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1603_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1572_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust212_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1539_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1605_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust179_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1653_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1682_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust226_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust222_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1554_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1668_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1609_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust1564_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust338_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust329_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust401_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust262_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust397_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust255_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust35_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust451_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust268_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust323_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust29_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust237_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust272_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust341_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust245_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust295_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust426_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust32_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust352_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust404_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust43_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust390_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust331_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust395_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust321_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust342_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust246_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust354_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust307_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust267_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust374_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust256_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust375_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust282_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust269_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust259_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust359_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust298_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust287_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust241_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust439_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust319_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust330_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust300_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust297_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust299_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust275_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust276_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust427_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust303_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust31_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust430_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust334_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust429_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust423_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust360_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust42_.jpg,red rust,Cashew
/content/drive/MyDrive/DSCI591_Group_2/Raw_Data/CCMT_Dataset/Cashew/red rust/red rust23_.jpg,red rust,Cashew
