path,label,label_id
output/processed/brown spot/brown spot657_.jpg,brown spot,2
output/processed/leaf miner/leaf miner106_.jpg,leaf miner,11
output/processed/bacterial blight/bacterial blight995_.jpg,bacterial blight,1
output/processed/brown spot/brown spot38_.jpg,brown spot,2
output/processed/leaf beetle/leaf beetle25_.jpg,leaf beetle,8
output/processed/healthy/healthy236_.jpg,healthy,7
output/processed/healthy/healthy257_.jpg,healthy,7
output/processed/septoria leaf spot/septoria leaf spot1991_-qbPvS7.jpg,septoria leaf spot,15
output/processed/septoria leaf spot/septoria leaf spot955_.jpg,septoria leaf spot,15
output/processed/leaf blight/leaf blight411_.jpg,leaf blight,9
output/processed/bacterial blight/bacterial blight687_.jpg,bacterial blight,1
output/processed/green mite/green mite452_.jpg,green mite,5
output/processed/leaf spot/leaf spot915_.jpg,leaf spot,12
output/processed/leaf blight/leaf blight312_.jpg,leaf blight,9
output/processed/healthy/healthy680_.jpg,healthy,7
output/processed/leaf curl/leaf curl177_.jpg,leaf curl,10
output/processed/leaf miner/leaf miner866_.jpg,leaf miner,11
output/processed/septoria leaf spot/septoria leaf spot2138_-YuRUQg.jpg,septoria leaf spot,15
output/processed/bacterial blight/bacterial blight232_.jpg,bacterial blight,1
output/processed/green mite/green mite520_.jpg,green mite,5
output/processed/leaf curl/leaf curl273_.jpg,leaf curl,10
output/processed/brown spot/brown spot1036_.jpg,brown spot,2
output/processed/healthy/healthy673_.jpg,healthy,7
output/processed/leaf blight/leaf blight90_.jpg,leaf blight,9
output/processed/septoria leaf spot/septoria leaf spot1220_.jpg,septoria leaf spot,15
output/processed/leaf blight/leaf blight62_.jpg,leaf blight,9
output/processed/leaf blight/leaf blight853_.jpg,leaf blight,9
output/processed/mosaic/mosaic811_.jpg,mosaic,13
output/processed/septoria leaf spot/septoria leaf spot1512_.jpg,septoria leaf spot,15
output/processed/green mite/green mite654_.jpg,green mite,5
output/processed/streak virus/streak virus719_.jpg,streak virus,16
output/processed/verticulium wilt/verticulium wilt358_.jpg,verticulium wilt,17
output/processed/red rust/red rust811_.jpg,red rust,14
output/processed/septoria leaf spot/septoria leaf spot209_.jpg,septoria leaf spot,15
output/processed/fall armyworm/fall armyworm80_.jpg,fall armyworm,3
output/processed/healthy/healthy86_.jpg,healthy,7
output/processed/fall armyworm/fall armyworm245_.jpg,fall armyworm,3
output/processed/anthracnose/anthracnose1330_.jpg,anthracnose,0
output/processed/septoria leaf spot/septoria leaf spot1968_-HY7dDw.jpg,septoria leaf spot,15
output/processed/brown spot/brown spot1136_.jpg,brown spot,2
output/processed/brown spot/brown spot481_.jpg,brown spot,2
output/processed/bacterial blight/bacterial blight42_.jpg,bacterial blight,1
output/processed/anthracnose/anthracnose673_.jpg,anthracnose,0
output/processed/streak virus/streak virus740_.jpg,streak virus,16
output/processed/septoria leaf spot/septoria leaf spot1973_-EUVvir.jpg,septoria leaf spot,15
output/processed/septoria leaf spot/septoria leaf spot402_.jpg,septoria leaf spot,15
output/processed/leaf spot/leaf spot562_.jpg,leaf spot,12
output/processed/bacterial blight/bacterial blight1495_.jpg,bacterial blight,1
output/processed/septoria leaf spot/septoria leaf spot616_.jpg,septoria leaf spot,15
output/processed/leaf spot/leaf spot259_.jpg,leaf spot,12
output/processed/green mite/green mite804_.jpg,green mite,5
output/processed/leaf blight/leaf blight1043_.jpg,leaf blight,9
output/processed/red rust/red rust88_.jpg,red rust,14
output/processed/leaf spot/leaf spot890_.jpg,leaf spot,12
output/processed/leaf miner/leaf miner573_.jpg,leaf miner,11
output/processed/mosaic/mosaic68_.jpg,mosaic,13
output/processed/bacterial blight/bacterial blight2492_.jpg,bacterial blight,1
output/processed/green mite/green mite720_.jpg,green mite,5
output/processed/septoria leaf spot/septoria leaf spot1646_.jpg,septoria leaf spot,15
output/processed/anthracnose/anthracnose876_.jpg,anthracnose,0
output/processed/verticulium wilt/verticulium wilt185_.jpg,verticulium wilt,17
output/processed/red rust/red rust792_.jpg,red rust,14
output/processed/leaf blight/leaf blight683_.jpg,leaf blight,9
output/processed/bacterial blight/bacterial blight2292_.jpg,bacterial blight,1
output/processed/anthracnose/anthracnose75_.jpg,anthracnose,0
output/processed/grasshoper/grasshoper10_.jpg,grasshoper,4
output/processed/leaf miner/leaf miner1016_.jpg,leaf miner,11
output/processed/green mite/green mite69_.jpg,green mite,5
output/processed/red rust/red rust553_.jpg,red rust,14
output/processed/leaf miner/leaf miner1361_.jpg,leaf miner,11
output/processed/bacterial blight/bacterial blight546_.jpg,bacterial blight,1
output/processed/streak virus/streak virus287_.jpg,streak virus,16
output/processed/bacterial blight/bacterial blight1939_.jpg,bacterial blight,1
output/processed/bacterial blight/bacterial blight669_.jpg,bacterial blight,1
output/processed/streak virus/streak virus730_.jpg,streak virus,16
output/processed/verticulium wilt/verticulium wilt372_.jpg,verticulium wilt,17
output/processed/bacterial blight/bacterial blight584_.jpg,bacterial blight,1
output/processed/leaf curl/leaf curl417_.jpg,leaf curl,10
output/processed/green mite/green mite1007_.jpg,green mite,5
output/processed/red rust/red rust259_.jpg,red rust,14
output/processed/red rust/red rust343_.jpg,red rust,14
output/processed/septoria leaf spot/septoria leaf spot2153_-G6QQhp.jpg,septoria leaf spot,15
output/processed/leaf beetle/leaf beetle622_.jpg,leaf beetle,8
output/processed/leaf miner/leaf miner839_.jpg,leaf miner,11
output/processed/leaf spot/leaf spot540_.jpg,leaf spot,12
output/processed/green mite/green mite972_.jpg,green mite,5
output/processed/leaf beetle/leaf beetle808_.jpg,leaf beetle,8
output/processed/red rust/red rust700_.jpg,red rust,14
output/processed/bacterial blight/bacterial blight64_.jpg,bacterial blight,1
output/processed/leaf curl/leaf curl24_.jpg,leaf curl,10
output/processed/green mite/green mite695_.jpg,green mite,5
output/processed/bacterial blight/bacterial blight2297_.jpg,bacterial blight,1
output/processed/leaf beetle/leaf beetle190_.jpg,leaf beetle,8
output/processed/bacterial blight/bacterial blight159_.jpg,bacterial blight,1
output/processed/red rust/red rust1619_.jpg,red rust,14
output/processed/green mite/green mite94_.jpg,green mite,5
output/processed/red rust/red rust1177_.jpg,red rust,14
output/processed/leaf blight/leaf blight241_.jpg,leaf blight,9
output/processed/anthracnose/anthracnose629_.jpg,anthracnose,0
output/processed/leaf miner/leaf miner582_.jpg,leaf miner,11
output/processed/leaf spot/leaf spot877_.jpg,leaf spot,12
output/processed/septoria leaf spot/septoria leaf spot465_.jpg,septoria leaf spot,15
output/processed/bacterial blight/bacterial blight2278_.jpg,bacterial blight,1
output/processed/gumosis/gumosis90_.jpg,gumosis,6
output/processed/leaf spot/leaf spot963_.jpg,leaf spot,12
output/processed/brown spot/brown spot1297_.jpg,brown spot,2
output/processed/green mite/green mite1006_.jpg,green mite,5
output/processed/green mite/green mite348_.jpg,green mite,5
output/processed/bacterial blight/bacterial blight2395_.jpg,bacterial blight,1
output/processed/leaf blight/leaf blight901_.jpg,leaf blight,9
output/processed/anthracnose/anthracnose413_.jpg,anthracnose,0
output/processed/streak virus/streak virus717_.jpg,streak virus,16
output/processed/anthracnose/anthracnose868_.jpg,anthracnose,0
output/processed/green mite/green mite948_.jpg,green mite,5
output/processed/mosaic/mosaic921_.jpg,mosaic,13
output/processed/healthy/healthy10_.jpg,healthy,7
output/processed/red rust/red rust1131_.jpg,red rust,14
output/processed/green mite/green mite30_.jpg,green mite,5
output/processed/green mite/green mite680_.jpg,green mite,5
output/processed/leaf spot/leaf spot161_.jpg,leaf spot,12
output/processed/septoria leaf spot/septoria leaf spot608_.jpg,septoria leaf spot,15
output/processed/bacterial blight/bacterial blight1984_.jpg,bacterial blight,1
output/processed/red rust/red rust1495_.jpg,red rust,14
output/processed/bacterial blight/bacterial blight577_.jpg,bacterial blight,1
output/processed/brown spot/brown spot618_.jpg,brown spot,2
output/processed/mosaic/mosaic913_.jpg,mosaic,13
output/processed/red rust/red rust225_.jpg,red rust,14
output/processed/mosaic/mosaic826_.jpg,mosaic,13
output/processed/healthy/healthy241_.jpg,healthy,7
output/processed/anthracnose/anthracnose1253_.jpg,anthracnose,0
output/processed/leaf beetle/leaf beetle583_.jpg,leaf beetle,8
output/processed/mosaic/mosaic450_.jpg,mosaic,13
output/processed/red rust/red rust347_.jpg,red rust,14
output/processed/streak virus/streak virus892_.jpg,streak virus,16
output/processed/leaf spot/leaf spot768_.jpg,leaf spot,12
output/processed/leaf spot/leaf spot1130_.jpg,leaf spot,12
output/processed/healthy/healthy1364_.jpg,healthy,7
output/processed/green mite/green mite103_.jpg,green mite,5
output/processed/anthracnose/anthracnose1278_.jpg,anthracnose,0
output/processed/leaf spot/leaf spot1251_.jpg,leaf spot,12
output/processed/verticulium wilt/verticulium wilt76_.jpg,verticulium wilt,17
output/processed/brown spot/brown spot216_.jpg,brown spot,2
output/processed/green mite/green mite182_.jpg,green mite,5
output/processed/bacterial blight/bacterial blight1566_.jpg,bacterial blight,1
output/processed/leaf spot/leaf spot1133_.jpg,leaf spot,12
output/processed/leaf spot/leaf spot5_.jpg,leaf spot,12
output/processed/leaf blight/leaf blight167_.jpg,leaf blight,9
output/processed/brown spot/brown spot387_.jpg,brown spot,2
output/processed/bacterial blight/bacterial blight646_.jpg,bacterial blight,1
output/processed/streak virus/streak virus744_.jpg,streak virus,16
output/processed/verticulium wilt/verticulium wilt737_.jpg,verticulium wilt,17
output/processed/leaf blight/leaf blight759_.jpg,leaf blight,9
output/processed/gumosis/gumosis17_.jpg,gumosis,6
output/processed/healthy/healthy398_.jpg,healthy,7
output/processed/brown spot/brown spot201_.jpg,brown spot,2
output/processed/leaf curl/leaf curl280_.jpg,leaf curl,10
output/processed/brown spot/brown spot617_.jpg,brown spot,2
output/processed/brown spot/brown spot129_.jpg,brown spot,2
output/processed/grasshoper/grasshoper81_.jpg,grasshoper,4
output/processed/gumosis/gumosis373_.jpg,gumosis,6
output/processed/septoria leaf spot/septoria leaf spot1393_.jpg,septoria leaf spot,15
output/processed/gumosis/gumosis83_.jpg,gumosis,6
output/processed/leaf blight/leaf blight405_.jpg,leaf blight,9
output/processed/red rust/red rust1454_.jpg,red rust,14
output/processed/brown spot/brown spot443_.jpg,brown spot,2
output/processed/leaf miner/leaf miner277_.jpg,leaf miner,11
output/processed/leaf miner/leaf miner391_.jpg,leaf miner,11
output/processed/healthy/healthy780_.jpg,healthy,7
output/processed/verticulium wilt/verticulium wilt327_.jpg,verticulium wilt,17
output/processed/mosaic/mosaic860_.jpg,mosaic,13
output/processed/healthy/healthy152_.jpg,healthy,7
output/processed/leaf spot/leaf spot19_.jpg,leaf spot,12
output/processed/septoria leaf spot/septoria leaf spot576_.jpg,septoria leaf spot,15
output/processed/healthy/healthy294_.jpg,healthy,7
output/processed/leaf spot/leaf spot586_.jpg,leaf spot,12
output/processed/bacterial blight/bacterial blight2336_.jpg,bacterial blight,1
output/processed/streak virus/streak virus842_.jpg,streak virus,16
output/processed/bacterial blight/bacterial blight1743_.jpg,bacterial blight,1
output/processed/septoria leaf spot/septoria leaf spot802_.jpg,septoria leaf spot,15
output/processed/brown spot/brown spot862_.jpg,brown spot,2
output/processed/anthracnose/anthracnose356_.jpg,anthracnose,0
output/processed/septoria leaf spot/septoria leaf spot1280_.jpg,septoria leaf spot,15
output/processed/brown spot/brown spot1413_.jpg,brown spot,2
output/processed/brown spot/brown spot1075_.jpg,brown spot,2
output/processed/brown spot/brown spot1255_.jpg,brown spot,2
output/processed/healthy/healthy1234_.jpg,healthy,7
output/processed/anthracnose/anthracnose788_.jpg,anthracnose,0
output/processed/bacterial blight/bacterial blight2204_.jpg,bacterial blight,1
output/processed/bacterial blight/bacterial blight1344_.jpg,bacterial blight,1
output/processed/red rust/red rust896_.jpg,red rust,14
output/processed/bacterial blight/bacterial blight1586_.jpg,bacterial blight,1
output/processed/mosaic/mosaic185_.jpg,mosaic,13
output/processed/leaf blight/leaf blight779_.jpg,leaf blight,9
output/processed/brown spot/brown spot563_.jpg,brown spot,2
output/processed/streak virus/streak virus584_.jpg,streak virus,16
output/processed/grasshoper/grasshoper272_.jpg,grasshoper,4
output/processed/grasshoper/grasshoper561_.jpg,grasshoper,4
output/processed/anthracnose/anthracnose1341_.jpg,anthracnose,0
output/processed/bacterial blight/bacterial blight1044_.jpg,bacterial blight,1
output/processed/healthy/healthy1345_.jpg,healthy,7
output/processed/septoria leaf spot/septoria leaf spot1866_.jpg,septoria leaf spot,15
output/processed/green mite/green mite806_.jpg,green mite,5
output/processed/streak virus/streak virus616_.jpg,streak virus,16
output/processed/leaf miner/leaf miner788_.jpg,leaf miner,11
output/processed/leaf spot/leaf spot1147_.jpg,leaf spot,12
output/processed/mosaic/mosaic781_.jpg,mosaic,13
output/processed/anthracnose/anthracnose1129_.jpg,anthracnose,0
output/processed/leaf blight/leaf blight140_.jpg,leaf blight,9
output/processed/leaf miner/leaf miner1216_.jpg,leaf miner,11
output/processed/septoria leaf spot/septoria leaf spot873_.jpg,septoria leaf spot,15
output/processed/anthracnose/anthracnose1373_.jpg,anthracnose,0
output/processed/healthy/healthy720_.jpg,healthy,7
output/processed/leaf blight/leaf blight715_.jpg,leaf blight,9
output/processed/septoria leaf spot/septoria leaf spot20_.jpg,septoria leaf spot,15
output/processed/leaf beetle/leaf beetle472_.jpg,leaf beetle,8
output/processed/leaf beetle/leaf beetle38_.jpg,leaf beetle,8
output/processed/mosaic/mosaic124_.jpg,mosaic,13
output/processed/red rust/red rust1309_.jpg,red rust,14
output/processed/septoria leaf spot/septoria leaf spot2054_-fRXyh1.jpg,septoria leaf spot,15
output/processed/leaf blight/leaf blight650_.jpg,leaf blight,9
output/processed/red rust/red rust1401_.jpg,red rust,14
output/processed/leaf spot/leaf spot340_.jpg,leaf spot,12
output/processed/red rust/red rust263_.jpg,red rust,14
output/processed/mosaic/mosaic351_.jpg,mosaic,13
output/processed/streak virus/streak virus732_.jpg,streak virus,16
output/processed/brown spot/brown spot600_.jpg,brown spot,2
output/processed/streak virus/streak virus224_.jpg,streak virus,16
output/processed/leaf beetle/leaf beetle659_.jpg,leaf beetle,8
output/processed/mosaic/mosaic669_.jpg,mosaic,13
output/processed/healthy/healthy566_.jpg,healthy,7
output/processed/leaf spot/leaf spot1201_.jpg,leaf spot,12
output/processed/healthy/healthy20_.jpg,healthy,7
output/processed/leaf blight/leaf blight501_.jpg,leaf blight,9
output/processed/mosaic/mosaic276_.jpg,mosaic,13
output/processed/mosaic/mosaic129_.jpg,mosaic,13
output/processed/green mite/green mite608_.jpg,green mite,5
output/processed/brown spot/brown spot104_.jpg,brown spot,2
output/processed/bacterial blight/bacterial blight1628_.jpg,bacterial blight,1
output/processed/brown spot/brown spot1344_.jpg,brown spot,2
output/processed/mosaic/mosaic970_.jpg,mosaic,13
output/processed/streak virus/streak virus100_.jpg,streak virus,16
output/processed/streak virus/streak virus177_.jpg,streak virus,16
output/processed/leaf miner/leaf miner459_.jpg,leaf miner,11
output/processed/gumosis/gumosis43_.jpg,gumosis,6
output/processed/leaf curl/leaf curl195_.jpg,leaf curl,10
output/processed/grasshoper/grasshoper266_.jpg,grasshoper,4
output/processed/septoria leaf spot/septoria leaf spot437_.jpg,septoria leaf spot,15
output/processed/mosaic/mosaic348_.jpg,mosaic,13
output/processed/anthracnose/anthracnose1149_.jpg,anthracnose,0
output/processed/mosaic/mosaic1127_.jpg,mosaic,13
output/processed/leaf miner/leaf miner529_.jpg,leaf miner,11
output/processed/leaf miner/leaf miner796_.jpg,leaf miner,11
output/processed/healthy/healthy860_.jpg,healthy,7
output/processed/leaf miner/leaf miner83_.jpg,leaf miner,11
output/processed/mosaic/mosaic953_.jpg,mosaic,13
output/processed/anthracnose/anthracnose1730_.jpg,anthracnose,0
output/processed/leaf curl/leaf curl250_.jpg,leaf curl,10
output/processed/septoria leaf spot/septoria leaf spot541_.jpg,septoria leaf spot,15
output/processed/leaf blight/leaf blight1304_.jpg,leaf blight,9
output/processed/leaf spot/leaf spot603_.jpg,leaf spot,12
output/processed/bacterial blight/bacterial blight2102_.jpg,bacterial blight,1
output/processed/anthracnose/anthracnose122_.jpg,anthracnose,0
output/processed/mosaic/mosaic371_.jpg,mosaic,13
output/processed/grasshoper/grasshoper508_.jpg,grasshoper,4
output/processed/red rust/red rust970_.jpg,red rust,14
output/processed/leaf beetle/leaf beetle496_.jpg,leaf beetle,8
output/processed/leaf blight/leaf blight95_.jpg,leaf blight,9
output/processed/red rust/red rust1583_.jpg,red rust,14
output/processed/healthy/healthy939_.jpg,healthy,7
output/processed/grasshoper/grasshoper522_.jpg,grasshoper,4
output/processed/leaf spot/leaf spot896_.jpg,leaf spot,12
output/processed/healthy/healthy234_.jpg,healthy,7
output/processed/green mite/green mite331_.jpg,green mite,5
output/processed/mosaic/mosaic391_.jpg,mosaic,13
output/processed/septoria leaf spot/septoria leaf spot1794_.jpg,septoria leaf spot,15
output/processed/anthracnose/anthracnose853_.jpg,anthracnose,0
output/processed/verticulium wilt/verticulium wilt691_.jpg,verticulium wilt,17
output/processed/healthy/healthy1075_.jpg,healthy,7
output/processed/gumosis/gumosis271_.jpg,gumosis,6
output/processed/verticulium wilt/verticulium wilt371_.jpg,verticulium wilt,17
output/processed/leaf curl/leaf curl166_.jpg,leaf curl,10
output/processed/leaf blight/leaf blight626_.jpg,leaf blight,9
output/processed/grasshoper/grasshoper121_.jpg,grasshoper,4
output/processed/gumosis/gumosis191_.jpg,gumosis,6
output/processed/leaf spot/leaf spot948_.jpg,leaf spot,12
output/processed/brown spot/brown spot1120_.jpg,brown spot,2
output/processed/streak virus/streak virus918_.jpg,streak virus,16
output/processed/healthy/healthy641_.jpg,healthy,7
output/processed/gumosis/gumosis151_.jpg,gumosis,6
output/processed/leaf beetle/leaf beetle146_.jpg,leaf beetle,8
output/processed/leaf spot/leaf spot642_.jpg,leaf spot,12
output/processed/bacterial blight/bacterial blight1864_.jpg,bacterial blight,1
output/processed/anthracnose/anthracnose1112_.jpg,anthracnose,0
output/processed/mosaic/mosaic464_.jpg,mosaic,13
output/processed/grasshoper/grasshoper155_.jpg,grasshoper,4
output/processed/leaf spot/leaf spot371_.jpg,leaf spot,12
output/processed/bacterial blight/bacterial blight2229_.jpg,bacterial blight,1
output/processed/mosaic/mosaic864_.jpg,mosaic,13
output/processed/healthy/healthy973_.jpg,healthy,7
output/processed/brown spot/brown spot1399_.jpg,brown spot,2
output/processed/septoria leaf spot/septoria leaf spot1553_.jpg,septoria leaf spot,15
output/processed/anthracnose/anthracnose113_.jpg,anthracnose,0
output/processed/streak virus/streak virus592_.jpg,streak virus,16
output/processed/leaf spot/leaf spot1252_.jpg,leaf spot,12
output/processed/red rust/red rust1077_.jpg,red rust,14
output/processed/streak virus/streak virus938_.jpg,streak virus,16
output/processed/red rust/red rust1646_.jpg,red rust,14
output/processed/septoria leaf spot/septoria leaf spot329_.jpg,septoria leaf spot,15
output/processed/leaf blight/leaf blight391_.jpg,leaf blight,9
output/processed/brown spot/brown spot695_.jpg,brown spot,2
output/processed/leaf blight/leaf blight170_.jpg,leaf blight,9
output/processed/mosaic/mosaic22_.jpg,mosaic,13
output/processed/leaf beetle/leaf beetle350_.jpg,leaf beetle,8
output/processed/leaf curl/leaf curl422_.jpg,leaf curl,10
output/processed/leaf spot/leaf spot279_.jpg,leaf spot,12
output/processed/healthy/healthy637_.jpg,healthy,7
output/processed/green mite/green mite355_.jpg,green mite,5
output/processed/anthracnose/anthracnose1234_.jpg,anthracnose,0
output/processed/red rust/red rust860_.jpg,red rust,14
output/processed/leaf spot/leaf spot1199_.jpg,leaf spot,12
output/processed/anthracnose/anthracnose256_.jpg,anthracnose,0
output/processed/leaf beetle/leaf beetle538_.jpg,leaf beetle,8
output/processed/septoria leaf spot/septoria leaf spot1831_.jpg,septoria leaf spot,15
output/processed/green mite/green mite346_.jpg,green mite,5
output/processed/leaf curl/leaf curl258_.jpg,leaf curl,10
output/processed/verticulium wilt/verticulium wilt26_.jpg,verticulium wilt,17
output/processed/leaf beetle/leaf beetle738_.jpg,leaf beetle,8
output/processed/red rust/red rust1392_.jpg,red rust,14
output/processed/leaf spot/leaf spot368_.jpg,leaf spot,12
output/processed/healthy/healthy391_.jpg,healthy,7
output/processed/leaf blight/leaf blight648_.jpg,leaf blight,9
output/processed/green mite/green mite920_.jpg,green mite,5
output/processed/leaf blight/leaf blight1117_.jpg,leaf blight,9
output/processed/brown spot/brown spot1009_.jpg,brown spot,2
output/processed/leaf miner/leaf miner419_.jpg,leaf miner,11
output/processed/anthracnose/anthracnose1689_.jpg,anthracnose,0
output/processed/leaf miner/leaf miner1060_.jpg,leaf miner,11
output/processed/red rust/red rust391_.jpg,red rust,14
output/processed/anthracnose/anthracnose513_.jpg,anthracnose,0
output/processed/anthracnose/anthracnose1147_.jpg,anthracnose,0
output/processed/fall armyworm/fall armyworm67_.jpg,fall armyworm,3
output/processed/mosaic/mosaic89_.jpg,mosaic,13
output/processed/anthracnose/anthracnose700_.jpg,anthracnose,0
output/processed/leaf miner/leaf miner272_.jpg,leaf miner,11
output/processed/septoria leaf spot/septoria leaf spot1700_.jpg,septoria leaf spot,15
output/processed/grasshoper/grasshoper323_.jpg,grasshoper,4
output/processed/leaf miner/leaf miner347_.jpg,leaf miner,11
output/processed/brown spot/brown spot1382_.jpg,brown spot,2
output/processed/leaf beetle/leaf beetle76_.jpg,leaf beetle,8
output/processed/healthy/healthy485_.jpg,healthy,7
output/processed/streak virus/streak virus940_.jpg,streak virus,16
output/processed/septoria leaf spot/septoria leaf spot1436_.jpg,septoria leaf spot,15
output/processed/leaf miner/leaf miner163_.jpg,leaf miner,11
output/processed/anthracnose/anthracnose763_.jpg,anthracnose,0
output/processed/red rust/red rust1182_.jpg,red rust,14
output/processed/verticulium wilt/verticulium wilt384_.jpg,verticulium wilt,17
output/processed/bacterial blight/bacterial blight297_.jpg,bacterial blight,1
output/processed/gumosis/gumosis15_.jpg,gumosis,6
output/processed/leaf blight/leaf blight543_.jpg,leaf blight,9
output/processed/mosaic/mosaic23_.jpg,mosaic,13
output/processed/brown spot/brown spot374_.jpg,brown spot,2
output/processed/bacterial blight/bacterial blight501_.jpg,bacterial blight,1
output/processed/bacterial blight/bacterial blight1978_.jpg,bacterial blight,1
output/processed/anthracnose/anthracnose1628_.jpg,anthracnose,0
output/processed/septoria leaf spot/septoria leaf spot1249_.jpg,septoria leaf spot,15
output/processed/bacterial blight/bacterial blight346_.jpg,bacterial blight,1
output/processed/mosaic/mosaic1045_.jpg,mosaic,13
output/processed/bacterial blight/bacterial blight1960_.jpg,bacterial blight,1
output/processed/leaf beetle/leaf beetle3_.jpg,leaf beetle,8
output/processed/leaf miner/leaf miner845_.jpg,leaf miner,11
output/processed/healthy/healthy778_.jpg,healthy,7
output/processed/bacterial blight/bacterial blight385_.jpg,bacterial blight,1
output/processed/leaf beetle/leaf beetle842_.jpg,leaf beetle,8
output/processed/bacterial blight/bacterial blight962_.jpg,bacterial blight,1
output/processed/bacterial blight/bacterial blight1710_.jpg,bacterial blight,1
output/processed/bacterial blight/bacterial blight1929_.jpg,bacterial blight,1
output/processed/septoria leaf spot/septoria leaf spot2380_-x28NWv.jpg,septoria leaf spot,15
output/processed/septoria leaf spot/septoria leaf spot2024_-uMXxly.jpg,septoria leaf spot,15
output/processed/anthracnose/anthracnose614_.jpg,anthracnose,0
output/processed/mosaic/mosaic660_.jpg,mosaic,13
output/processed/red rust/red rust228_.jpg,red rust,14
output/processed/streak virus/streak virus411_.jpg,streak virus,16
output/processed/anthracnose/anthracnose1555_.jpg,anthracnose,0
output/processed/healthy/healthy487_.jpg,healthy,7
output/processed/verticulium wilt/verticulium wilt3_.jpg,verticulium wilt,17
